"","Sp","Limb_width","Limb_length","Observer","Volume"
"1","P. maculata",3.25882287316744,8.1626852897838,"Asher",22.6946344153015
"2","L. clamitans",4.8311206999949,6.41407553410695,"Chloe",39.1920944073212
"3","P. crucifer",2.66038143229693,8.78546500331661,"Asher",16.2787553351591
"4","L. clamitans",3.89719816963183,5.66740628951499,"Asher",22.5350203329328
"5","P. crucifer",3.48801628388841,6.55343323344678,"Chloe",20.8734633348931
"6","P. crucifer",1.74461417954436,7.56960612237498,"Asher",6.03171349513994
"7","D. versicolor",3.02278820477583,4.11028238558588,"Graydon",9.83231365606113
"8","L. clamitans",4.0907732123545,6.13098165667345,"Asher",26.8602128708956
"9","L. clamitans",2.86787755984829,6.53829731685036,"Chloe",14.0784390059923
"10","P. maculata",1.92499871981196,6.44445908986256,"Graydon",6.25195707821811
"11","D. versicolor",3.85501075001734,6.97986463214841,"Chloe",27.1560633750499
"12","L. pipiens",2.63501986139641,6.84961777586394,"Graydon",12.4509574881004
"13","P. maculata",3.16555429495674,6.37187324415604,"Asher",16.7161126092963
"14","D. versicolor",1.7572150091829,8.32322085193283,"Chloe",6.72836980910856
"15","L. clamitans",4.45928768536572,5.47864942998801,"Asher",28.5215498094721
"16","P. crucifer",2.99638723116759,6.56257213114331,"Chloe",15.4254766232407
"17","L. pipiens",2.97911682675962,7.9705775795434,"Chloe",18.5196804528937
"18","L. clamitans",3.03210600233414,7.02822264442478,"Graydon",16.9162033759318
"19","P. maculata",1.83272199378304,6.91421781134724,"Graydon",6.08001802162166
"20","D. versicolor",2.48042838198587,7.38921440498494,"Chloe",11.9020091272585
"21","P. maculata",4.37388866552748,7.2366873677129,"Chloe",36.244647974703
"22","P. maculata",4.41233230306885,6.85555977330593,"Chloe",34.9420172595717
"23","L. clamitans",2.5978262425389,7.72222970080615,"Chloe",13.6436805258321
"24","P. crucifer",2.56085613420445,7.36990685741019,"Chloe",12.6532179234475
"25","P. maculata",4.01060848283633,6.75793368551822,"Chloe",28.4579157009643
"26","L. pipiens",3.43081917077942,5.52793668157947,"Chloe",17.0344196810537
"27","D. versicolor",3.73392836114777,6.4038404542343,"Asher",23.3744334207605
"28","L. clamitans",2.31932512576445,5.8532998687814,"Graydon",8.2431398161559
"29","P. maculata",3.32619633824811,4.52536356694115,"Chloe",13.1074395948831
"30","P. crucifer",3.9070296291046,6.38649142158973,"Graydon",25.5225679810056
