"Species","Limb_width","Limb_length","Observer","Volume"
"Pseudacris maculata",3.25882287316744,8.1626852897838,"Asher",22.6946344153015
"Lithobates clamitans",4.8311206999949,6.41407553410695,"Chloe",39.1920944073212
"Pseudacris crucifer",2.66038143229693,8.78546500331661,"Asher",16.2787553351591
"Lithobates clamitans",3.89719816963183,5.66740628951499,"Asher",22.5350203329328
"Pseudacris crucifer",3.48801628388841,6.55343323344678,"Chloe",20.8734633348931
"Pseudacris crucifer",1.74461417954436,7.56960612237498,"Asher",6.03171349513994
"Dryophytes versicolor",3.02278820477583,4.11028238558588,"Graydon",9.83231365606113
"Lithobates clamitans",4.0907732123545,6.13098165667345,"Asher",26.8602128708956
"Lithobates clamitans",2.86787755984829,6.53829731685036,"Chloe",14.0784390059923
"Pseudacris maculata",1.92499871981196,6.44445908986256,"Graydon",6.25195707821811
"Dryophytes versicolor",3.85501075001734,6.97986463214841,"Chloe",27.1560633750499
"Lithobates pipiens",2.63501986139641,6.84961777586394,"Graydon",12.4509574881004
"Pseudacris maculata",3.16555429495674,6.37187324415604,"Asher",16.7161126092963
"Dryophytes versicolor",1.7572150091829,8.32322085193283,"Chloe",6.72836980910856
"Lithobates clamitans",4.45928768536572,5.47864942998801,"Asher",28.5215498094721
"Pseudacris crucifer",2.99638723116759,6.56257213114331,"Chloe",15.4254766232407
"Lithobates pipiens",2.97911682675962,7.9705775795434,"Chloe",18.5196804528937
"Lithobates clamitans",3.03210600233414,7.02822264442478,"Graydon",16.9162033759318
"Pseudacris maculata",1.83272199378304,6.91421781134724,"Graydon",6.08001802162166
"Dryophytes versicolor",2.48042838198587,7.38921440498494,"Chloe",11.9020091272585
"Pseudacris maculata",4.37388866552748,7.2366873677129,"Chloe",36.244647974703
"Pseudacris maculata",4.41233230306885,6.85555977330593,"Chloe",34.9420172595717
"Lithobates clamitans",2.5978262425389,7.72222970080615,"Chloe",13.6436805258321
"Pseudacris crucifer",2.56085613420445,7.36990685741019,"Chloe",12.6532179234475
"Pseudacris maculata",4.01060848283633,6.75793368551822,"Chloe",28.4579157009643
"Lithobates pipiens",3.43081917077942,5.52793668157947,"Chloe",17.0344196810537
"Dryophytes versicolor",3.73392836114777,6.4038404542343,"Asher",23.3744334207605
"Lithobates clamitans",2.31932512576445,5.8532998687814,"Graydon",8.2431398161559
"Pseudacris maculata",3.32619633824811,4.52536356694115,"Chloe",13.1074395948831
"Pseudacris crucifer",3.9070296291046,6.38649142158973,"Graydon",25.5225679810056
"Pseudacris maculata",2.53731846492149,6.7836884859619,"Asher",11.4336391887246
"Pseudacris maculata",3.00470002908275,8.59014576848671,"Graydon",20.3035230370579
"Lithobates pipiens",4.45039725511988,8.55614327565194,"Asher",44.3653828052016
"Lithobates pipiens",3.752679092546,8.10845089348356,"Chloe",29.8943677535248
"Lithobates pipiens",3.96615979018952,5.90265815511523,"Asher",24.3084167545551
"Lithobates pipiens",3.46847682421931,5.13939428362245,"Graydon",16.1866940369571
"Dryophytes versicolor",2.75909210115727,6.08642115202275,"Graydon",12.1300620552506
"Lithobates clamitans",4.03257677922125,8.24556891198713,"Chloe",35.1038331977021
"Lithobates pipiens",2.35980076887525,7.0878547183607,"Graydon",10.3331827519665
"Dryophytes versicolor",1.68377560987557,7.42348189505024,"Chloe",5.50991258675011
"Lithobates clamitans",3.36190890816991,6.18151698343133,"Asher",18.2909211395579
"Dryophytes versicolor",3.72118050424848,5.45743216292622,"Asher",19.7841978554989
"Lithobates clamitans",5.48517851188455,7.55588214573161,"Graydon",59.5162191085876
"Lithobates clamitans",2.0149792263178,6.63097102949345,"Chloe",7.04834093767136
"Lithobates clamitans",2.6615002496166,5.95266171996388,"Graydon",11.0390792744654
"Pseudacris maculata",4.25429923340249,7.01817991624752,"Graydon",33.2544057210247
"Lithobates pipiens",1.87164719481928,7.88187750575616,"Chloe",7.22846833860589
"Pseudacris crucifer",4.55950871674596,7.88186149524293,"Asher",42.8976524386512
"Pseudacris maculata",3.70800598509816,8.02624318512833,"Asher",28.890948076989
"Lithobates pipiens",3.93429586242612,6.61869082065382,"Asher",26.820986851337
